NAME,DP03_0062E,DP03_0119PE,DP03_0009PE,DP05_0001E,DP05_0018E,DP05_0019E,DP05_0077PE,DP05_0003PE
"Autauga County, Alabama",69841,8.1,2.5,59285,39.2,13926,1.8,51.6
"Baldwin County, Alabama",75019,7.3,3.2,239945,43.7,51128,3.0,51.1
"Barbour County, Alabama",44290,17.7,5.7,24757,40.7,5181,4.1,47.9
"Bibb County, Alabama",51215,16.0,10.0,22152,41.3,4458,1.6,46.6
"Blount County, Alabama",61096,10.3,5.8,59292,40.9,13738,9.2,49.5
"Bullock County, Alabama",36723,19.5,5.9,10157,40.4,2105,3.2,45.3
"Butler County, Alabama",44881,18.5,6.8,18807,42.2,4219,1.3,54.0
"Calhoun County, Alabama",55826,12.5,6.4,116141,39.0,24829,3.0,51.7
"Chambers County, Alabama",49295,12.3,5.0,34450,41.5,7141,1.7,53.3
"Cherokee County, Alabama",50769,12.6,3.4,25224,47.4,4747,1.4,50.7
"Chilton County, Alabama",61873,10.2,5.4,45500,39.5,10966,8.5,51.1
"Choctaw County, Alabama",44483,16.5,5.5,12525,47.0,2492,0.0,53.1
"Clarke County, Alabama",49167,13.1,13.2,22802,42.5,4950,0.6,52.7
"Clay County, Alabama",51852,13.4,3.5,14188,43.8,2932,2.4,51.8
"Cleburne County, Alabama",53319,6.8,1.5,15254,42.3,3327,1.5,49.8
"Coffee County, Alabama",64672,13.9,4.3,54231,38.8,13045,4.7,50.3
"Colbert County, Alabama",56736,13.2,3.3,57648,42.3,12311,2.5,51.8
"Conecuh County, Alabama",42266,17.3,8.3,11411,46.3,2305,0.2,53.6
"Coosa County, Alabama",57063,8.0,5.1,10323,50.3,1742,0.3,48.8
"Covington County, Alabama",50886,14.7,4.6,37647,42.8,8319,1.0,51.7
"Crenshaw County, Alabama",49040,9.1,4.9,13144,42.4,3016,1.5,51.6
"Cullman County, Alabama",60916,9.9,4.2,89463,41.1,20132,3.9,50.5
"Dale County, Alabama",53955,14.9,6.8,49516,38.0,11518,4.1,50.7
"Dallas County, Alabama",36810,24.0,10.9,37536,40.3,8946,0.5,53.6
"DeKalb County, Alabama",51149,14.6,4.2,71946,39.6,17442,8.7,50.0
"Elmore County, Alabama",75553,9.0,3.9,88669,38.9,19255,2.2,51.3
"Escambia County, Alabama",44447,17.1,9.1,36695,40.5,8353,1.3,50.0
"Etowah County, Alabama",53070,12.0,6.3,103208,41.8,22487,2.5,51.6
"Fayette County, Alabama",50733,13.1,9.5,16173,42.8,3452,1.1,51.4
"Franklin County, Alabama",51493,13.6,3.6,31978,38.6,8025,9.8,50.7
"Geneva County, Alabama",50951,14.1,4.9,26726,44.0,5910,4.0,51.0
"Greene County, Alabama",31495,28.4,3.3,7589,44.4,1622,0.7,51.9
"Hale County, Alabama",41325,16.0,5.9,14749,41.0,3515,0.7,52.2
"Henry County, Alabama",60135,11.3,3.3,17450,45.0,3570,1.3,51.2
"Houston County, Alabama",57531,13.8,4.6,107628,40.3,24812,2.5,52.0
"Jackson County, Alabama",49454,12.5,5.4,52839,43.4,10983,1.8,50.5
"Jefferson County, Alabama",64589,11.6,4.8,669744,37.8,154090,3.2,52.5
"Lamar County, Alabama",47447,10.4,6.4,13809,44.5,3085,0.7,51.0
"Lauderdale County, Alabama",59082,9.6,3.9,95037,40.7,18548,2.4,51.9
"Lawrence County, Alabama",60040,9.6,2.1,33182,42.8,7222,1.7,50.8
"Lee County, Alabama",61123,9.6,3.7,177663,33.6,37567,2.2,50.6
"Limestone County, Alabama",83534,6.5,3.7,107577,40.5,23953,4.6,49.9
"Lowndes County, Alabama",35160,22.3,7.2,10008,42.7,2199,0.1,52.0
"Macon County, Alabama",45951,17.3,10.7,18951,37.8,2944,1.1,54.0
"Madison County, Alabama",83528,7.4,3.8,397135,38.2,86354,3.4,50.8
"Marengo County, Alabama",44205,14.1,2.4,19027,41.1,4286,1.8,52.6
"Marion County, Alabama",50714,11.7,6.2,29190,43.8,6175,2.5,50.6
"Marshall County, Alabama",60946,12.4,3.7,98712,38.6,25531,9.2,50.3
"Mobile County, Alabama",58119,11.9,5.3,413162,38.4,96676,1.3,52.1
"Monroe County, Alabama",40225,17.1,11.9,19580,43.9,4154,0.1,51.7
"Montgomery County, Alabama",58153,16.0,6.0,227197,36.9,54708,2.5,52.9
"Morgan County, Alabama",64858,10.1,4.0,123742,40.3,28884,6.8,50.7
"Perry County, Alabama",34368,24.2,15.8,8231,42.5,1753,0.1,54.2
"Pickens County, Alabama",47014,15.8,6.5,18843,42.5,3639,2.4,51.6
"Pike County, Alabama",47961,11.8,3.9,32953,31.7,6297,1.7,52.3
"Randolph County, Alabama",51551,14.9,2.8,22310,44.0,4674,2.2,51.0
"Russell County, Alabama",50046,18.0,6.6,58858,37.2,14306,1.4,52.4
"St. Clair County, Alabama",78993,7.6,4.5,92903,41.0,20815,1.5,50.5
"Shelby County, Alabama",93543,4.5,2.9,226955,40.0,52225,4.2,51.3
"Sumter County, Alabama",37981,19.7,8.6,12020,34.9,2311,0.2,55.4
"Talladega County, Alabama",56249,16.1,8.1,81170,42.2,16883,1.3,51.4
"Tallapoosa County, Alabama",57185,12.9,7.5,41070,45.4,8383,1.9,51.4
"Tuscaloosa County, Alabama",63947,11.5,5.4,234036,33.0,48419,2.9,51.7
"Walker County, Alabama",54509,13.2,4.4,64886,41.3,14717,2.1,50.9
"Washington County, Alabama",60503,16.0,6.2,15270,44.1,3160,1.7,50.2
"Wilcox County, Alabama",42236,22.3,12.1,10347,42.0,2329,0.0,52.1
"Winston County, Alabama",48032,13.7,4.2,23637,45.3,4815,1.4,50.1
"Aleutians East Borough, Alaska",72692,14.8,3.8,3423,41.8,410,7.7,38.2
"Aleutians West Census Area, Alaska",107344,3.5,4.1,5178,39.1,683,11.1,30.6
"Anchorage Municipality, Alaska",98152,5.8,4.6,289069,34.9,68654,4.2,48.9
"Bethel Census Area, Alaska",70616,21.3,14.1,18487,28.7,6440,0.8,46.5
"Bristol Bay Borough, Alaska",100625,1.7,4.0,878,39.3,146,2.8,39.0
"Chugach Census Area, Alaska",88565,3.5,8.7,6964,38.4,1528,4.8,46.5
"Copper River Census Area, Alaska",75053,5.7,7.6,2626,45.5,685,3.0,49.4
"Denali Borough, Alaska",88935,3.9,1.2,2029,44.1,268,2.0,36.8
"Dillingham Census Area, Alaska",74250,16.6,10.8,4780,30.9,1475,2.4,48.4
"Fairbanks North Star Borough, Alaska",84722,2.8,4.9,95555,32.4,22878,4.9,45.7
"Haines Borough, Alaska",72607,1.8,4.7,2077,52.4,456,2.3,49.4
"Hoonah-Angoon Census Area, Alaska",62500,6.6,16.9,2313,51.4,352,7.0,42.9
"Juneau City and Borough, Alaska",100513,4.9,4.0,31969,39.8,6497,3.5,48.9
"Kenai Peninsula Borough, Alaska",77722,7.0,6.9,59843,41.5,13289,2.3,47.8
"Ketchikan Gateway Borough, Alaska",89155,5.9,3.5,13870,40.8,2880,2.9,47.9
"Kodiak Island Borough, Alaska",83716,6.5,4.8,12878,35.4,3072,4.0,45.8
"Kusilvak Census Area, Alaska",48233,30.5,18.1,8277,23.6,3459,1.6,46.5
"Lake and Peninsula Borough, Alaska",64000,14.6,9.5,1007,33.4,275,0.9,45.9
"Matanuska-Susitna Borough, Alaska",90625,7.4,6.0,110677,36.6,28719,2.6,47.7
"Nome Census Area, Alaska",76643,18.6,15.8,9925,29.4,3369,1.4,47.7
"North Slope Borough, Alaska",86313,11.4,6.6,10891,35.2,2714,2.3,39.0
"Northwest Arctic Borough, Alaska",81298,16.0,16.3,7611,28.3,2861,1.5,47.2
"Petersburg Borough, Alaska",77026,4.3,4.2,3394,45.7,652,5.7,50.0
"Prince of Wales-Hyder Census Area, Alaska",59079,12.1,8.1,5730,43.7,1225,1.9,44.7
"Sitka City and Borough, Alaska",101207,7.0,7.1,8393,39.6,1647,4.3,48.0
"Skagway Municipality, Alaska",78594,4.6,9.5,1308,42.5,177,1.4,59.3
"Southeast Fairbanks Census Area, Alaska",74223,11.0,6.9,6936,37.9,1751,1.5,42.7
"Wrangell City and Borough, Alaska",64545,8.4,3.5,2106,44.3,433,1.7,48.6
"Yakutat City and Borough, Alaska",80625,2.2,1.4,506,53.2,66,3.6,34.2
"Yukon-Koyukuk Census Area, Alaska",52642,15.4,6.5,5271,37.3,1397,0.8,46.7
"Apache County, Arizona",40338,25.1,10.0,65680,36.2,17274,4.9,50.4
"Cochise County, Arizona",58970,11.1,7.3,125458,42.9,26214,30.1,49.0
"Coconino County, Arizona",69748,10.6,6.6,144643,32.4,28707,10.7,50.6
"Gila County, Arizona",59089,10.9,7.4,53610,51.4,10195,14.7,50.0
"Graham County, Arizona",67326,14.7,6.3,38860,34.4,10312,27.3,46.7
"Greenlee County, Arizona",75239,8.3,3.5,9452,36.1,2565,43.2,47.7
"La Paz County, Arizona",49506,15.2,10.8,16605,59.7,2605,23.4,48.3
"Maricopa County, Arizona",85518,7.8,4.6,4491987,37.5,1025680,26.2,50.3
"Mohave County, Arizona",55799,11.4,6.9,217420,53.2,35542,13.0,49.4
"Navajo County, Arizona",52752,19.4,8.8,107744,39.4,27587,8.3,49.8
"Pima County, Arizona",67929,9.8,5.7,1049947,39.7,208584,32.1,50.6
"Pinal County, Arizona",77588,7.8,5.8,449219,40.3,97593,25.6,48.0
"Santa Cruz County, Arizona",53614,16.5,10.5,48209,37.9,12588,80.4,51.7
"Yavapai County, Arizona",66106,7.8,4.2,241656,55.0,37723,12.5,50.7
