State,County,Median_Household_Income_x,Poverty_Rate_x,Unemployment_Rate_x,Population_Density_x,Median_Age_x,Average_Age_x,Minority_Percentage_x,Female_Percentage_x,Median_Household_Income_y,Poverty_Rate_y,Unemployment_Rate_y,Population_Density_y,Median_Age_y,Average_Age_y,Minority_Percentage_y,Female_Percentage_y
alabama,autauga county,69841,8.1,2.5,59285,39.2,13926.0,1.8,51.6,0.3908128948502297,0.13064516129032258,0.08038585209003216,0.00601541596303873,0.3747368421052632,0.006768289837942082,0.01948051948051948,0.745874587458746
alabama,baldwin county,75019,7.3,3.2,239945,43.7,51128.0,3.0,51.1,0.41978769718030073,0.11774193548387096,0.10289389067524116,0.02435958138423614,0.4694736842105263,0.02484913994214439,0.032467532467532464,0.7293729372937295
alabama,barbour county,44290,17.7,5.7,24757,40.7,5181.0,4.1,47.9,0.24783584302797315,0.2854838709677419,0.1832797427652733,0.002509452586181074,0.40631578947368424,0.0025180604373386418,0.04437229437229437,0.6237623762376238
alabama,bibb county,51215,16.0,10.0,22152,41.3,4458.0,1.6,46.6,0.2865864235872126,0.25806451612903225,0.3215434083601286,0.0022449416212623357,0.4189473684210525,0.0021666692587638805,0.017316017316017316,0.580858085808581
alabama,blount county,61096,10.3,5.8,59292,40.9,13738.0,9.2,49.5,0.3418780461873346,0.16612903225806452,0.1864951768488746,0.006016126741063464,0.41052631578947363,0.006676918411148092,0.09956709956709955,0.6765676567656767
alabama,bullock county,36723,19.5,5.9,10157,40.4,2105.0,3.2,45.3,0.20549278987392772,0.31451612903225806,0.18971061093247588,0.0010269727060223104,0.39999999999999997,0.0010230683691561167,0.03463203463203463,0.5379537953795379
alabama,butler county,44881,18.5,6.8,18807,42.2,4219.0,1.3,54.0,0.25114293228580864,0.29838709677419356,0.21864951768488744,0.0019052912651574684,0.4378947368421053,0.002050510902360882,0.014069264069264068,0.8250825082508252
alabama,calhoun county,55826,12.5,6.4,116141,39.0,24829.0,3.0,51.7,0.3123884347003755,0.20161290322580644,0.2057877813504823,0.011788558159361104,0.37052631578947365,0.012067346573765902,0.032467532467532464,0.7491749174917494
alabama,chambers county,49295,12.3,5.0,34450,41.5,7141.0,1.7,53.3,0.27584258031302633,0.19838709677419356,0.1607717041800643,0.003493677071001546,0.42315789473684207,0.0034706561634887554,0.018398268398268396,0.8019801980198019
alabama,cherokee county,50769,12.6,3.4,25224,47.4,4747.0,1.4,50.7,0.2840907183266464,0.2032258064516129,0.10932475884244372,0.0025568716344025904,0.5473684210526315,0.0023071285265482597,0.01515151515151515,0.7161716171617163
alabama,chilton county,61873,10.2,5.4,45500,39.5,10966.0,8.5,51.1,0.34622594526235684,0.16451612903225804,0.17363344051446947,0.004615690952902528,0.38105263157894737,0.00532967588416436,0.09199134199134198,0.7293729372937295
alabama,choctaw county,44483,16.5,5.5,12525,47.0,2492.0,0.0,53.1,0.2489158231070971,0.2661290322580645,0.17684887459807072,0.0012674187578179236,0.5389473684210526,0.0012111574232480016,0.0,0.7953795379537955
alabama,clarke county,49167,13.1,13.2,22802,42.5,4950.0,0.6,52.7,0.27512632409474724,0.21129032258064515,0.42443729903536975,0.0023109424378447464,0.44421052631578944,0.0024057902267566643,0.006493506493506493,0.7821782178217823
alabama,clay county,51852,13.4,3.5,14188,43.8,2932.0,2.4,51.8,0.2901509174234921,0.2161290322580645,0.11254019292604502,0.001436279308551076,0.47157894736842093,0.0014250054434041494,0.025974025974025972,0.7524752475247525
alabama,cleburne county,53319,6.8,1.5,15254,42.3,3327.0,1.5,49.8,0.29835988517517503,0.10967741935483871,0.04823151125401929,0.0015445206477462294,0.4399999999999999,0.0016169826433170549,0.016233766233766232,0.6864686468646864
alabama,coffee county,64672,13.9,4.3,54231,38.8,13045.0,4.7,50.3,0.3618884542855064,0.2241935483870968,0.13826366559485528,0.005502234229181033,0.36631578947368415,0.0063401077794021585,0.050865800865800864,0.7029702970297029
alabama,colbert county,56736,13.2,3.3,57648,42.3,12311.0,2.5,51.8,0.3174805687522033,0.2129032258064516,0.10610932475884244,0.005849195444968875,0.4399999999999999,0.005983370400323494,0.027056277056277056,0.7524752475247525
alabama,conecuh county,42266,17.3,8.3,11411,46.3,2305.0,0.2,53.6,0.23651004157643518,0.27903225806451615,0.26688102893890675,0.0011543035121674536,0.5242105263157893,0.0011202720146816386,0.0021645021645021645,0.811881188118812
alabama,coosa county,57063,8.0,5.1,10323,50.3,1742.0,0.3,48.8,0.31931037955983815,0.12903225806451613,0.16398713826366557,0.00104382829918028,0.6084210526315789,0.0008466437525272948,0.0032467532467532465,0.6534653465346534
alabama,covington county,50886,14.7,4.6,37647,42.8,8319.0,1.0,51.7,0.28474542127616714,0.23709677419354838,0.14790996784565916,0.0038182995488691878,0.4505263157894736,0.004043185635634079,0.010822510822510822,0.7491749174917494
alabama,crenshaw county,49040,9.1,4.9,13144,42.4,3016.0,1.5,51.6,0.2744156636281735,0.14677419354838708,0.15755627009646303,0.0013302718431479424,0.44210526315789467,0.0014658309745248686,0.016233766233766232,0.745874587458746
alabama,cullman county,60916,9.9,4.2,89463,41.1,20132.0,3.9,50.5,0.3408708108803796,0.15967741935483873,0.13504823151125403,0.00907968156738333,0.4147368421052632,0.009784518958599024,0.0422077922077922,0.7095709570957096
alabama,dale county,53955,14.9,6.8,49516,38.0,11518.0,4.1,50.7,0.3019187832597492,0.2403225806451613,0.21864951768488744,0.005023474459664007,0.34947368421052627,0.0055979579458147995,0.04437229437229437,0.7161716171617163
alabama,dallas county,36810,24.0,10.9,37536,40.3,8946.0,0.5,53.6,0.20597962027228928,0.3870967741935484,0.3504823151125402,0.0038070286401912685,0.3978947368421052,0.00434791906435659,0.005411255411255411,0.811881188118812
alabama,dekalb county,51149,14.6,4.2,71946,39.6,17442.0,8.7,50.0,0.28621710397466243,0.23548387096774193,0.13504823151125403,0.007301010330346272,0.3831578947368421,0.008477129926280755,0.09415584415584415,0.6930693069306931
alabama,elmore county,75553,9.0,3.9,88669,38.9,19255.0,2.2,51.3,0.42277582859093377,0.14516129032258066,0.12540192926045016,0.008999059031434971,0.36842105263157887,0.00935828097296961,0.02380952380952381,0.735973597359736
alabama,escambia county,44447,17.1,9.1,36695,40.5,8353.0,1.3,50.0,0.2487143760457061,0.27580645161290324,0.292604501607717,0.0037216337375054107,0.4021052631578947,0.004059710255373418,0.014069264069264068,0.6930693069306931
alabama,etowah county,53070,12.0,6.3,103208,41.8,22487.0,2.5,51.6,0.296966543000554,0.1935483870967742,0.202572347266881,0.010475344988806768,0.42947368421052623,0.010929091884662042,0.027056277056277056,0.745874587458746
alabama,fayette county,50733,13.1,9.5,16173,42.8,3452.0,1.1,51.4,0.2838892712652554,0.21129032258064515,0.3054662379421222,0.0016378356484219763,0.4505263157894736,0.001677734921770506,0.011904761904761906,0.7392739273927393
alabama,franklin county,51493,13.6,3.6,31978,38.6,8025.0,9.8,50.7,0.28814204256128745,0.21935483870967742,0.1157556270096463,0.0032426708885527475,0.36210526315789476,0.003900296276711562,0.10606060606060606,0.7161716171617163
alabama,geneva county,50951,14.1,4.9,26726,44.0,5910.0,4.0,51.0,0.28510914513701197,0.22741935483870968,0.15755627009646303,0.0027093842905668688,0.4757894736842105,0.002872367725279169,0.04329004329004329,0.7260726072607261
alabama,greene county,31495,28.4,3.3,7589,44.4,1622.0,0.7,51.9,0.17623819995859144,0.45806451612903226,0.10610932475884244,0.0007662187106628787,0.4842105263157894,0.0007883215652119817,0.007575757575757575,0.7557755775577558
alabama,hale county,41325,16.0,5.9,14749,41.0,3515.0,0.7,52.2,0.23124443922174284,0.25806451612903225,0.18971061093247588,0.0014932430902475874,0.4126315789473684,0.0017083540701110455,0.007575757575757575,0.7656765676567658
alabama,henry county,60135,11.3,3.3,17450,45.0,3570.0,1.3,51.2,0.33650052879853615,0.18225806451612905,0.10610932475884244,0.0017675018680769585,0.49684210526315786,0.001735085072630564,0.014069264069264068,0.7326732673267329
alabama,houston county,57531,13.8,4.6,107628,40.3,24812.0,2.5,52.0,0.3219291913579211,0.22258064516129034,0.14790996784565916,0.010924150541567161,0.3978947368421052,0.012059084263896232,0.027056277056277056,0.7590759075907592
alabama,jackson county,49454,12.5,5.4,52839,43.4,10983.0,1.8,50.5,0.2767323048341699,0.20161290322580644,0.17363344051446947,0.005360890941976854,0.46315789473684205,0.005337938194034029,0.01948051948051948,0.7095709570957096
